불량일자,라인,제품코드,제품명,불량유형,불량수량,불량중량_kg,원인,조치사항,처리구분,검사자,LOT번호,비고
2026-01-03,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,폐기,이검사,L260103-06,
2026-01-03,DUBAI,DCK-M,두바이말차,성형불량,5,0.6,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,등급변경,최검사,L260103-07,
2026-01-03,DUBAI,DCK-M,두바이말차,외관불량,3,0.3,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,폐기,박검사,L260103-08,
2026-01-03,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,필링 온도 부적절,필링 보온 온도 재설정,등급변경,최검사,L260103-09,
2026-01-03,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,등급변경,박검사,L260103-10,
2026-01-03,DUBAI,DCK-M,두바이말차,원료이물,1,0.1,카다이프 이물,원료 재검수 실시,등급변경,이검사,L260103-11,
2026-01-03,DUBAI,DCK-M,두바이말차,포장불량,1,0.1,라벨 위치 오류,라벨러 재정렬,폐기,이검사,L260103-12,
2026-01-03,ITALY,ICK-D,이태리다크,성형불량,3,0.3,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,폐기,김품질,L260103-13,
2026-01-03,ITALY,ICK-D,이태리다크,외관불량,2,0.2,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,폐기,최검사,L260103-14,
2026-01-03,ITALY,ICK-D,이태리다크,필링불량,1,0.1,필링 온도 부적절,필링 보온 온도 재설정,등급변경,김품질,L260103-15,
2026-01-03,ITALY,ICK-D,이태리다크,중량미달,1,0.1,필링 부족,필링 투입량 재설정,등급변경,이검사,L260103-16,
2026-01-03,ITALY,ICK-O,이태리오리지널,성형불량,3,0.3,반죽 경화 (작업 지연으로 식음),반죽 재제조 (온도 관리 강화),등급변경,이검사,L260103-17,
2026-01-03,ITALY,ICK-O,이태리오리지널,외관불량,2,0.2,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,폐기,김품질,L260103-18,
2026-01-03,ITALY,ICK-O,이태리오리지널,필링불량,1,0.1,필링 온도 부적절,필링 보온 온도 재설정,등급변경,이검사,L260103-19,
2026-01-03,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,등급변경,김품질,L260103-20,
2026-01-06,DUBAI,DCK-C,두바이코코아,성형불량,7,0.7,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),재작업,이검사,L260106-01,
2026-01-06,DUBAI,DCK-C,두바이코코아,외관불량,4,0.4,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,폐기,박검사,L260106-02,
2026-01-06,DUBAI,DCK-C,두바이코코아,필링불량,3,0.3,필링 계량 오차,계량기 재보정,폐기,이검사,L260106-03,
2026-01-06,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,반죽 분할 오차,분할기 재보정,등급변경,김품질,L260106-04,
2026-01-06,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,카다이프 이물,원료 재검수 실시,폐기,박검사,L260106-05,
2026-01-06,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,실링 불량,실링기 점검,등급변경,이검사,L260106-06,
2026-01-06,DUBAI,DCK-M,두바이말차,성형불량,5,0.5,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),등급변경,최검사,L260106-07,
2026-01-06,DUBAI,DCK-M,두바이말차,외관불량,3,0.3,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,등급변경,이검사,L260106-08,
2026-01-06,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,필링 계량 오차,계량기 재보정,등급변경,최검사,L260106-09,
2026-01-06,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,필링 부족,필링 투입량 재설정,등급변경,박검사,L260106-10,
2026-01-06,DUBAI,DCK-M,두바이말차,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,등급변경,이검사,L260106-11,
2026-01-06,DUBAI,DCK-M,두바이말차,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,폐기,최검사,L260106-12,
2026-01-06,ITALY,ICK-D,이태리다크,성형불량,2,0.2,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,폐기,김품질,L260106-13,
2026-01-06,ITALY,ICK-D,이태리다크,외관불량,2,0.2,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,등급변경,최검사,L260106-14,
2026-01-06,ITALY,ICK-D,이태리다크,필링불량,1,0.1,필링 온도 부적절,필링 보온 온도 재설정,등급변경,박검사,L260106-15,
2026-01-06,ITALY,ICK-D,이태리다크,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,재작업,이검사,L260106-16,
2026-01-06,ITALY,ICK-O,이태리오리지널,성형불량,4,0.4,성형 틀 마모,성형 틀 교체,등급변경,김품질,L260106-17,
2026-01-06,ITALY,ICK-O,이태리오리지널,외관불량,2,0.2,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,재작업,최검사,L260106-18,
2026-01-06,ITALY,ICK-O,이태리오리지널,필링불량,1,0.1,필링 계량 오차,계량기 재보정,폐기,박검사,L260106-19,
2026-01-06,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,필링 부족,필링 투입량 재설정,등급변경,이검사,L260106-20,
2026-01-07,DUBAI,DCK-C,두바이코코아,성형불량,7,0.8,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),등급변경,김품질,L260107-01,
2026-01-07,DUBAI,DCK-C,두바이코코아,외관불량,4,0.4,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,등급변경,이검사,L260107-02,
2026-01-07,DUBAI,DCK-C,두바이코코아,필링불량,3,0.3,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,등급변경,김품질,L260107-03,
2026-01-07,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,필링 부족,필링 투입량 재설정,등급변경,이검사,L260107-04,
2026-01-07,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,등급변경,최검사,L260107-05,
2026-01-07,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,재작업,최검사,L260107-06,
2026-01-07,DUBAI,DCK-M,두바이말차,성형불량,5,0.5,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),등급변경,김품질,L260107-07,
2026-01-07,DUBAI,DCK-M,두바이말차,외관불량,4,0.4,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,등급변경,이검사,L260107-08,
2026-01-07,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,필링 계량 오차,계량기 재보정,등급변경,김품질,L260107-09,
2026-01-07,DUBAI,DCK-M,두바이말차,중량미달,2,0.2,반죽 분할 오차,분할기 재보정,폐기,이검사,L260107-10,
2026-01-07,DUBAI,DCK-M,두바이말차,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,등급변경,최검사,L260107-11,
2026-01-07,DUBAI,DCK-M,두바이말차,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,등급변경,김품질,L260107-12,
2026-01-07,ITALY,ICK-D,이태리다크,성형불량,4,0.4,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,재작업,이검사,L260107-13,
2026-01-07,ITALY,ICK-D,이태리다크,외관불량,2,0.2,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,등급변경,박검사,L260107-14,
2026-01-07,ITALY,ICK-D,이태리다크,필링불량,1,0.1,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,등급변경,이검사,L260107-15,
2026-01-07,ITALY,ICK-D,이태리다크,중량미달,1,0.1,필링 부족,필링 투입량 재설정,폐기,김품질,L260107-16,
2026-01-07,ITALY,ICK-O,이태리오리지널,성형불량,4,0.4,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,등급변경,박검사,L260107-17,
2026-01-07,ITALY,ICK-O,이태리오리지널,외관불량,2,0.2,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,재작업,김품질,L260107-18,
2026-01-07,ITALY,ICK-O,이태리오리지널,필링불량,1,0.1,필링 계량 오차,계량기 재보정,재작업,박검사,L260107-19,
2026-01-07,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,반죽 분할 오차,분할기 재보정,등급변경,최검사,L260107-20,
2026-01-08,DUBAI,DCK-C,두바이코코아,성형불량,6,0.7,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,등급변경,이검사,L260108-01,
2026-01-08,DUBAI,DCK-C,두바이코코아,외관불량,4,0.4,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,등급변경,박검사,L260108-02,
2026-01-08,DUBAI,DCK-C,두바이코코아,필링불량,3,0.3,필링 계량 오차,계량기 재보정,폐기,최검사,L260108-03,
2026-01-08,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,필링 부족,필링 투입량 재설정,재작업,김품질,L260108-04,
2026-01-08,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,재작업,박검사,L260108-05,
2026-01-08,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,실링 불량,실링기 점검,폐기,이검사,L260108-06,
2026-01-08,DUBAI,DCK-M,두바이말차,성형불량,5,0.5,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,등급변경,박검사,L260108-07,
2026-01-08,DUBAI,DCK-M,두바이말차,외관불량,2,0.2,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,등급변경,김품질,L260108-08,
2026-01-08,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,폐기,박검사,L260108-09,
2026-01-08,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,등급변경,최검사,L260108-10,
2026-01-08,ITALY,ICK-D,이태리다크,성형불량,3,0.3,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),등급변경,이검사,L260108-11,
2026-01-08,ITALY,ICK-D,이태리다크,외관불량,2,0.2,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,폐기,박검사,L260108-12,
2026-01-08,ITALY,ICK-D,이태리다크,필링불량,1,0.1,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,폐기,최검사,L260108-13,
2026-01-08,ITALY,ICK-D,이태리다크,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,재작업,김품질,L260108-14,
2026-01-08,ITALY,ICK-O,이태리오리지널,성형불량,3,0.3,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,등급변경,이검사,L260108-15,
2026-01-08,ITALY,ICK-O,이태리오리지널,외관불량,3,0.3,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,재작업,박검사,L260108-16,
2026-01-08,ITALY,ICK-O,이태리오리지널,필링불량,2,0.2,필링 온도 부적절,필링 보온 온도 재설정,재작업,최검사,L260108-17,
2026-01-08,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,필링 부족,필링 투입량 재설정,등급변경,김품질,L260108-18,
2026-01-08,ITALY,ICK-O,이태리오리지널,원료이물,1,0.1,카다이프 이물,원료 재검수 실시,등급변경,박검사,L260108-19,
2026-01-08,ITALY,ICK-O,이태리오리지널,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,폐기,이검사,L260108-20,
2026-01-09,DUBAI,DCK-C,두바이코코아,성형불량,8,0.8,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,폐기,최검사,L260109-01,
2026-01-09,DUBAI,DCK-C,두바이코코아,외관불량,5,0.5,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,폐기,이검사,L260109-02,
2026-01-09,DUBAI,DCK-C,두바이코코아,필링불량,3,0.3,필링 계량 오차,계량기 재보정,재작업,김품질,L260109-03,
2026-01-09,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,반죽 분할 오차,분할기 재보정,등급변경,박검사,L260109-04,
2026-01-09,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,재작업,이검사,L260109-05,
2026-01-09,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,등급변경,최검사,L260109-06,
2026-01-09,DUBAI,DCK-M,두바이말차,성형불량,5,0.5,성형 틀 마모,성형 틀 교체,등급변경,김품질,L260109-07,
2026-01-09,DUBAI,DCK-M,두바이말차,외관불량,2,0.2,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,재작업,최검사,L260109-08,
2026-01-09,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,필링 계량 오차,계량기 재보정,재작업,박검사,L260109-09,
2026-01-09,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,필링 부족,필링 투입량 재설정,폐기,이검사,L260109-10,
2026-01-09,ITALY,ICK-D,이태리다크,성형불량,2,0.2,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),등급변경,박검사,L260109-11,
2026-01-09,ITALY,ICK-D,이태리다크,외관불량,2,0.2,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,등급변경,김품질,L260109-12,
2026-01-09,ITALY,ICK-D,이태리다크,필링불량,1,0.1,필링 계량 오차,계량기 재보정,폐기,이검사,L260109-13,
2026-01-09,ITALY,ICK-D,이태리다크,중량미달,1,0.1,필링 부족,필링 투입량 재설정,등급변경,김품질,L260109-14,
2026-01-09,ITALY,ICK-O,이태리오리지널,성형불량,3,0.3,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,등급변경,최검사,L260109-15,
2026-01-09,ITALY,ICK-O,이태리오리지널,외관불량,2,0.2,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,등급변경,이검사,L260109-16,
2026-01-09,ITALY,ICK-O,이태리오리지널,필링불량,1,0.1,필링 계량 오차,계량기 재보정,등급변경,김품질,L260109-17,
2026-01-09,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,등급변경,박검사,L260109-18,
2026-01-10,DUBAI,DCK-C,두바이코코아,성형불량,11,1.1,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),등급변경,김품질,L260110-01,
2026-01-10,DUBAI,DCK-C,두바이코코아,외관불량,6,0.7,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,등급변경,최검사,L260110-02,
2026-01-10,DUBAI,DCK-C,두바이코코아,필링불량,4,0.4,필링 온도 부적절,필링 보온 온도 재설정,등급변경,김품질,L260110-03,
2026-01-10,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,카다이프 투입량 부족,원료 계량 강화,폐기,이검사,L260110-04,
2026-01-10,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,원재료 이물 혼입,해당LOT 격리 및 수입검사 강화,등급변경,최검사,L260110-05,
2026-01-10,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,실링 불량,실링기 점검,재작업,김품질,L260110-06,
2026-01-10,DUBAI,DCK-M,두바이말차,성형불량,5,0.5,성형 틀 마모,성형 틀 교체,등급변경,박검사,L260110-07,
2026-01-10,DUBAI,DCK-M,두바이말차,외관불량,4,0.4,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,등급변경,최검사,L260110-08,
2026-01-10,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,등급변경,박검사,L260110-09,
2026-01-10,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,필링 부족,필링 투입량 재설정,재작업,최검사,L260110-10,
2026-01-10,DUBAI,DCK-M,두바이말차,원료이물,1,0.1,카다이프 이물,원료 재검수 실시,재작업,김품질,L260110-11,
2026-01-10,DUBAI,DCK-M,두바이말차,포장불량,1,0.1,실링 불량,실링기 점검,등급변경,박검사,L260110-12,
2026-01-10,ITALY,ICK-D,이태리다크,성형불량,5,0.5,성형 틀 마모,성형 틀 교체,등급변경,이검사,L260110-13,
2026-01-10,ITALY,ICK-D,이태리다크,외관불량,2,0.2,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,등급변경,박검사,L260110-14,
2026-01-10,ITALY,ICK-D,이태리다크,필링불량,1,0.1,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,등급변경,최검사,L260110-15,
2026-01-10,ITALY,ICK-D,이태리다크,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,폐기,김품질,L260110-16,
2026-01-10,ITALY,ICK-O,이태리오리지널,성형불량,3,0.3,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,등급변경,김품질,L260110-17,
2026-01-10,ITALY,ICK-O,이태리오리지널,외관불량,2,0.2,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,등급변경,이검사,L260110-18,
2026-01-10,ITALY,ICK-O,이태리오리지널,필링불량,1,0.1,필링 온도 부적절,필링 보온 온도 재설정,폐기,김품질,L260110-19,
2026-01-10,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,반죽 분할 오차,분할기 재보정,재작업,이검사,L260110-20,
2026-01-13,DUBAI,DCK-C,두바이코코아,성형불량,11,1.2,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,폐기,이검사,L260113-01,
2026-01-13,DUBAI,DCK-C,두바이코코아,외관불량,6,0.7,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,등급변경,박검사,L260113-02,
2026-01-13,DUBAI,DCK-C,두바이코코아,필링불량,4,0.4,필링 계량 오차,계량기 재보정,등급변경,최검사,L260113-03,
2026-01-13,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,필링 부족,필링 투입량 재설정,재작업,김품질,L260113-04,
2026-01-13,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,원재료 이물 혼입,해당LOT 격리 및 수입검사 강화,폐기,박검사,L260113-05,
2026-01-13,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,등급변경,이검사,L260113-06,
2026-01-13,DUBAI,DCK-M,두바이말차,성형불량,5,0.6,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,등급변경,박검사,L260113-07,
2026-01-13,DUBAI,DCK-M,두바이말차,외관불량,3,0.3,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,등급변경,김품질,L260113-08,
2026-01-13,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,필링 계량 오차,계량기 재보정,등급변경,박검사,L260113-09,
2026-01-13,DUBAI,DCK-M,두바이말차,중량미달,1,0.1,필링 부족,필링 투입량 재설정,재작업,최검사,L260113-10,
2026-01-13,DUBAI,DCK-M,두바이말차,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,재작업,김품질,L260113-11,
2026-01-13,DUBAI,DCK-M,두바이말차,포장불량,1,0.1,라벨 위치 오류,라벨러 재정렬,등급변경,박검사,L260113-12,
2026-01-13,ITALY,ICK-D,이태리다크,성형불량,2,0.2,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),폐기,이검사,L260113-13,
2026-01-13,ITALY,ICK-D,이태리다크,외관불량,2,0.2,초콜릿 템퍼링 실패,템퍼링 온도 ±1도 관리,재작업,박검사,L260113-14,
2026-01-13,ITALY,ICK-D,이태리다크,필링불량,1,0.1,필링 온도 부적절,필링 보온 온도 재설정,등급변경,최검사,L260113-15,
2026-01-13,ITALY,ICK-D,이태리다크,중량미달,1,0.1,반죽 분할 오차,분할기 재보정,재작업,김품질,L260113-16,
2026-01-13,ITALY,ICK-O,이태리오리지널,성형불량,3,0.3,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,폐기,이검사,L260113-17,
2026-01-13,ITALY,ICK-O,이태리오리지널,외관불량,3,0.3,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,폐기,박검사,L260113-18,
2026-01-13,ITALY,ICK-O,이태리오리지널,필링불량,2,0.2,마시멜로 점성 과다,에어컨 가동 및 충전속도 조절,폐기,최검사,L260113-19,
2026-01-13,ITALY,ICK-O,이태리오리지널,중량미달,1,0.1,반죽 분할 오차,분할기 재보정,등급변경,김품질,L260113-20,
2026-01-13,ITALY,ICK-O,이태리오리지널,원료이물,1,0.1,원재료 이물 혼입,해당LOT 격리 및 수입검사 강화,등급변경,박검사,L260113-21,
2026-01-13,ITALY,ICK-O,이태리오리지널,포장불량,1,0.1,실링 불량,실링기 점검,폐기,이검사,L260113-22,
2026-01-14,DUBAI,DCK-C,두바이코코아,성형불량,7,0.7,카다이프 꼬임 불균일,카다이프 해동 시간 재설정,등급변경,이검사,L260114-01,
2026-01-14,DUBAI,DCK-C,두바이코코아,외관불량,4,0.4,코팅 두께 불균일,코팅 도구 세척 및 재템퍼링,재작업,박검사,L260114-02,
2026-01-14,DUBAI,DCK-C,두바이코코아,필링불량,3,0.3,필링 온도 부적절,필링 보온 온도 재설정,등급변경,최검사,L260114-03,
2026-01-14,DUBAI,DCK-C,두바이코코아,중량미달,2,0.2,카다이프 투입량 부족,원료 계량 강화,폐기,김품질,L260114-04,
2026-01-14,DUBAI,DCK-C,두바이코코아,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,등급변경,박검사,L260114-05,
2026-01-14,DUBAI,DCK-C,두바이코코아,포장불량,1,0.1,포장기 정렬 오류,포장기 재정렬,등급변경,이검사,L260114-06,
2026-01-14,DUBAI,DCK-M,두바이말차,성형불량,5,0.5,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,등급변경,이검사,L260114-07,
2026-01-14,DUBAI,DCK-M,두바이말차,외관불량,4,0.4,초콜릿 표면 백화현상 (온도변화),템퍼링 온도 ±1도 관리 및 코팅실 항온,등급변경,박검사,L260114-08,
2026-01-14,DUBAI,DCK-M,두바이말차,필링불량,2,0.2,필링 온도 부적절,필링 보온 온도 재설정,등급변경,최검사,L260114-09,
2026-01-14,DUBAI,DCK-M,두바이말차,중량미달,2,0.2,필링 부족,필링 투입량 재설정,등급변경,박검사,L260114-10,
2026-01-14,DUBAI,DCK-M,두바이말차,원료이물,1,0.1,견과류 껍질 혼입,원료 선별 강화,폐기,이검사,L260114-11,
2026-01-14,DUBAI,DCK-M,두바이말차,포장불량,1,0.1,실링 불량,실링기 점검,등급변경,이검사,L260114-12,
2026-01-14,ITALY,ICK-D,이태리다크,성형불량,3,0.3,반죽 온도 부적절 (마시멜로 과열),마시멜로 녹이기 온도 재조정,등급변경,김품질,L260114-13,
2026-01-14,ITALY,ICK-D,이태리다크,외관불량,2,0.2,표면 크랙,냉각 속도 조정,등급변경,최검사,L260114-14,
2026-01-14,ITALY,ICK-D,이태리다크,필링불량,1,0.1,필링 계량 오차,계량기 재보정,폐기,박검사,L260114-15,
2026-01-14,ITALY,ICK-D,이태리다크,중량미달,1,0.1,카다이프 투입량 부족,원료 계량 강화,등급변경,최검사,L260114-16,
2026-01-14,ITALY,ICK-O,이태리오리지널,성형불량,3,0.3,작업 속도 과다 (물량 맞추기 급함),작업 속도 조절 (숙련자 배치),폐기,김품질,L260114-17,
2026-01-14,ITALY,ICK-O,이태리오리지널,외관불량,3,0.3,초콜릿 블룸 (습도),코팅실 제습 및 냉각 온도 재설정,폐기,이검사,L260114-18,
